class,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
edible,convex,smooth,y,t,almond,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,numerous,g
edible,bell,smooth,w,t,anise,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,numerous,m
poisonous,convex,scaly,w,t,pungent,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,scattered,u
edible,convex,smooth,g,f,none,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,abundant,g
edible,convex,scaly,y,t,almond,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,numerous,g
edible,bell,smooth,w,t,almond,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,numerous,m
edible,bell,scaly,w,t,anise,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,scattered,m
poisonous,convex,scaly,w,t,pungent,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,several,g
edible,bell,smooth,y,t,almond,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,scattered,m
edible,convex,scaly,y,t,anise,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,numerous,g
edible,convex,scaly,y,t,almond,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,scattered,m
edible,bell,smooth,y,t,almond,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,scattered,g
poisonous,convex,scaly,w,t,pungent,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,several,u
edible,convex,fibrous,n,f,none,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,abundant,g
edible,sunken,fibrous,g,f,none,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,solitary,u
edible,flat,fibrous,w,f,none,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,abundant,g
poisonous,convex,smooth,n,t,pungent,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,scattered,g
poisonous,convex,scaly,w,t,pungent,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,scattered,u
poisonous,convex,smooth,n,t,pungent,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,scattered,u
edible,bell,smooth,y,t,almond,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,scattered,m
poisonous,convex,scaly,n,t,pungent,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,several,g
edible,bell,scaly,y,t,anise,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,scattered,m
edible,bell,scaly,w,t,almond,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,numerous,m
edible,bell,smooth,w,t,anise,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,scattered,m
poisonous,flat,smooth,w,t,pungent,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,several,g
edible,convex,scaly,y,t,almond,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,numerous,m
edible,convex,scaly,w,t,anise,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,numerous,m
edible,flat,fibrous,n,f,none,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,solitary,u
edible,convex,smooth,y,t,almond,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,several,d
edible,bell,smooth,y,t,anise,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,numerous,m
poisonous,convex,scaly,w,t,pungent,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,scattered,u
edible,convex,scaly,y,t,anise,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,numerous,m
edible,convex,scaly,n,t,anise,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,solitary,p
edible,bell,scaly,y,t,anise,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,scattered,m
edible,convex,fibrous,y,t,anise,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,several,d
edible,sunken,fibrous,g,f,none,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,several,u
poisonous,convex,scaly,n,t,pungent,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,scattered,u
edible,convex,fibrous,y,t,almond,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,several,d
edible,bell,smooth,y,t,anise,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,scattered,m
edible,bell,scaly,y,t,almond,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,scattered,g
edible,convex,scaly,y,t,anise,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,solitary,p
edible,convex,fibrous,n,f,none,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,solitary,u
poisonous,convex,scaly,w,t,pungent,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,several,g
edible,convex,smooth,y,t,almond,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,numerous,m
edible,convex,scaly,w,t,almond,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,numerous,g
edible,convex,scaly,y,t,anise,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,scattered,m
edible,convex,smooth,w,t,anise,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,numerous,m
edible,convex,scaly,y,t,anise,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,scattered,p
edible,flat,scaly,y,t,anise,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,scattered,p
edible,convex,scaly,n,t,almond,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,scattered,g
edible,convex,smooth,w,t,anise,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,scattered,g
edible,bell,smooth,w,t,anise,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,numerous,m
poisonous,convex,scaly,n,t,pungent,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,several,u
poisonous,convex,smooth,w,t,pungent,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,several,u
edible,bell,scaly,y,t,almond,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,scattered,m
edible,flat,fibrous,g,f,none,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,abundant,g
edible,bell,smooth,w,t,almond,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,numerous,g
edible,convex,smooth,y,t,anise,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,numerous,g
edible,convex,scaly,n,t,almond,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,solitary,p
edible,sunken,fibrous,g,f,none,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,several,u
edible,bell,scaly,y,t,almond,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,scattered,m
edible,bell,smooth,y,t,anise,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,scattered,m
edible,bell,scaly,y,t,anise,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,numerous,m
edible,bell,scaly,w,t,anise,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,scattered,g
edible,flat,smooth,n,f,none,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,abundant,g
edible,convex,smooth,w,t,anise,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,scattered,g
edible,flat,scaly,y,t,almond,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,scattered,g
edible,convex,scaly,y,t,almond,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,numerous,g
edible,convex,fibrous,g,f,none,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,several,u
edible,flat,fibrous,y,t,anise,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,several,d
edible,bell,scaly,w,t,anise,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,scattered,m
edible,flat,fibrous,y,t,anise,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,several,d
edible,convex,scaly,n,t,almond,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,scattered,p
edible,bell,smooth,y,t,almond,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,scattered,g
edible,flat,smooth,y,t,anise,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,several,d
edible,convex,smooth,w,t,anise,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,several,d
edible,flat,scaly,n,t,anise,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,solitary,p
poisonous,convex,scaly,n,t,pungent,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,several,u
edible,flat,scaly,n,t,almond,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,solitary,g
edible,convex,smooth,n,f,none,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,scattered,g
poisonous,convex,scaly,w,t,pungent,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,scattered,g
edible,flat,fibrous,g,f,none,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,solitary,u
edible,convex,fibrous,g,f,none,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,scattered,g
edible,convex,scaly,y,t,anise,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,scattered,g
edible,convex,smooth,n,f,none,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,scattered,g
edible,bell,smooth,w,t,almond,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,scattered,g
edible,convex,smooth,w,t,anise,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,scattered,g
edible,flat,scaly,n,t,anise,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,solitary,g
edible,sunken,fibrous,n,f,none,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,several,u
edible,convex,fibrous,n,f,none,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,solitary,u
edible,bell,smooth,w,t,anise,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,scattered,g
edible,convex,scaly,y,t,almond,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,scattered,g
edible,convex,scaly,y,t,anise,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,numerous,m
edible,convex,smooth,n,f,none,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,abundant,g
edible,convex,smooth,w,t,almond,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,scattered,g
edible,flat,scaly,n,t,anise,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,scattered,g
edible,convex,smooth,y,t,almond,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,numerous,g
edible,bell,smooth,w,t,almond,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,scattered,g
edible,convex,scaly,w,t,almond,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,scattered,g
edible,convex,fibrous,n,f,none,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,scattered,g
edible,bell,smooth,y,t,anise,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,numerous,g
edible,flat,scaly,y,t,anise,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,scattered,g
edible,convex,scaly,y,t,almond,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,solitary,p
edible,bell,scaly,w,t,anise,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,numerous,g
edible,convex,scaly,y,t,almond,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,numerous,m
edible,convex,scaly,y,t,almond,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,solitary,g
edible,bell,scaly,w,t,anise,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,scattered,m
edible,bell,scaly,w,t,almond,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,scattered,m
edible,convex,smooth,y,t,almond,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,numerous,m
edible,convex,smooth,y,t,anise,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,numerous,g
edible,sunken,fibrous,g,f,none,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,solitary,u
edible,convex,fibrous,w,t,almond,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,several,d
edible,convex,smooth,y,t,almond,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,numerous,m
